"job.id" "instance_size" "ipn" "ranking" "type"
177 100 5 "3-2" "pairwise"
178 100 5 "3-2" "pairwise"
179 100 5 "3-2" "pairwise"
180 100 5 "3-2" "pairwise"
181 100 1 "1-2-3" "explicit-ranking"
182 100 1 "1-2-3" "explicit-ranking"
183 100 1 "1-2-3" "explicit-ranking"
184 100 1 "1-2-3" "explicit-ranking"
185 100 1 "1-2-3" "explicit-ranking"
186 100 1 "1-2-3" "explicit-ranking"
187 100 1 "1-2-3" "explicit-ranking"
188 100 1 "1-2-3" "explicit-ranking"
189 100 1 "1-2-3" "explicit-ranking"
190 100 1 "1-2-3" "explicit-ranking"
191 100 1 "1-2-3" "no-order"
192 100 1 "1-2-3" "no-order"
193 100 1 "1-2-3" "no-order"
194 100 1 "1-2-3" "no-order"
195 100 1 "1-2-3" "no-order"
196 100 1 "1-2-3" "no-order"
197 100 1 "1-2-3" "no-order"
198 100 1 "1-2-3" "no-order"
199 100 1 "1-2-3" "no-order"
200 100 1 "1-2-3" "no-order"
201 100 1 "1-3-2" "explicit-ranking"
202 100 1 "1-3-2" "explicit-ranking"
203 100 1 "1-3-2" "explicit-ranking"
204 100 1 "1-3-2" "explicit-ranking"
205 100 1 "1-3-2" "explicit-ranking"
206 100 1 "1-3-2" "explicit-ranking"
207 100 1 "1-3-2" "explicit-ranking"
208 100 1 "1-3-2" "explicit-ranking"
209 100 1 "1-3-2" "explicit-ranking"
210 100 1 "1-3-2" "explicit-ranking"
211 100 1 "1-3-2" "no-order"
212 100 1 "1-3-2" "no-order"
213 100 1 "1-3-2" "no-order"
214 100 1 "1-3-2" "no-order"
215 100 1 "1-3-2" "no-order"
216 100 1 "1-3-2" "no-order"
217 100 1 "1-3-2" "no-order"
218 100 1 "1-3-2" "no-order"
219 100 1 "1-3-2" "no-order"
220 100 1 "1-3-2" "no-order"
221 100 1 "2-1-3" "explicit-ranking"
222 100 1 "2-1-3" "explicit-ranking"
223 100 1 "2-1-3" "explicit-ranking"
224 100 1 "2-1-3" "explicit-ranking"
225 100 1 "2-1-3" "explicit-ranking"
226 100 1 "2-1-3" "explicit-ranking"
227 100 1 "2-1-3" "explicit-ranking"
228 100 1 "2-1-3" "explicit-ranking"
229 100 1 "2-1-3" "explicit-ranking"
230 100 1 "2-1-3" "explicit-ranking"
231 100 1 "2-1-3" "no-order"
232 100 1 "2-1-3" "no-order"
233 100 1 "2-1-3" "no-order"
234 100 1 "2-1-3" "no-order"
235 100 1 "2-1-3" "no-order"
236 100 1 "2-1-3" "no-order"
237 100 1 "2-1-3" "no-order"
238 100 1 "2-1-3" "no-order"
239 100 1 "2-1-3" "no-order"
240 100 1 "2-1-3" "no-order"
241 100 1 "2-3-1" "explicit-ranking"
242 100 1 "2-3-1" "explicit-ranking"
243 100 1 "2-3-1" "explicit-ranking"
244 100 1 "2-3-1" "explicit-ranking"
245 100 1 "2-3-1" "explicit-ranking"
246 100 1 "2-3-1" "explicit-ranking"
247 100 1 "2-3-1" "explicit-ranking"
248 100 1 "2-3-1" "explicit-ranking"
249 100 1 "2-3-1" "explicit-ranking"
250 100 1 "2-3-1" "explicit-ranking"
